x,y
887,274
887,275
887,276
887,277
887,278
887,279
887,280
888,281
889,282
889,283
889,284
889,285
889,286
889,287
889,288
889,289
890,290
890,291
890,292
890,293
891,294
892,295
893,296
894,297
895,298
895,299
896,300
897,301
897,302
898,303
899,304
899,305
900,306
901,307
901,308
902,309
903,310
904,311
905,312
905,313
906,314
907,315
907,316
908,317
909,318
909,319
910,320
910,321
911,322
912,323
912,324
913,325
914,326
914,327
915,328
915,329
916,330
917,331
917,332
918,333
918,334
919,335
920,336
920,337
921,338
921,339
922,340
922,341
923,342
924,343
924,344
925,345
925,346
926,347
926,348
927,349
928,350
928,351
929,352
929,353
930,354
930,355
931,356
931,357
932,358
932,359
933,360
933,361
934,362
934,363
935,364
935,365
936,366
936,367
937,368
937,369
938,370
938,371
938,372
939,373
939,374
940,375
940,376
941,377
941,378
942,379
942,380
943,381
943,382
944,383
944,384
944,385
945,386
945,387
946,388
946,389
946,390
947,391
947,392
948,393
948,394
948,395
949,396
949,397
950,398
950,399
950,400
951,401
951,402
952,403
952,404
952,405
953,406
953,407
953,408
954,409
954,410
954,411
955,412
955,413
955,414
956,415
956,416
956,417
957,418
957,419
957,420
958,421
958,422
958,423
959,424
959,425
959,426
960,427
960,428
960,429
960,430
961,431
961,432
961,433
962,434
962,435
962,436
963,437
963,438
963,439
963,440
963,441
964,442
964,443
964,444
965,445
965,446
965,447
965,448
965,449
966,450
966,451
966,452
967,453
967,454
967,455
967,456
968,457
968,458
968,459
968,460
968,461
969,462
969,463
969,464
969,465
969,466
969,467
970,468
970,469
970,470
970,471
971,472
971,473
971,474
971,475
971,476
971,477
972,478
972,479
972,480
972,481
972,482
972,483
972,484
973,485
973,486
973,487
973,488
973,489
973,490
973,491
974,492
975,493
975,494
975,495
975,496
975,497
975,498
975,499
975,500
975,501
975,502
975,503
975,504
975,505
975,506
975,507
975,508
975,509
976,510
976,511
976,512
976,513
976,514
976,515
976,516
976,517
976,518
976,519
976,520
976,521
976,522
976,523
976,524
976,525
976,526
976,527
976,528
976,529
976,530
976,531
976,532
976,533
976,534
976,535
976,536
976,537
977,538
977,539
977,540
977,541
977,542
977,543
977,544
977,545
977,546
977,547
977,548
977,549
977,550
977,551
977,552
976,553
976,554
976,555
976,556
976,557
976,558
976,559
976,560
976,561
976,562
976,563
976,564
976,565
975,566
975,567
975,568
975,569
975,570
975,571
975,572
975,573
975,574
975,575
975,576
975,577
975,578
975,579
974,580
974,581
974,582
973,583
973,584
972,585
971,586
970,586
969,587
968,587
967,587
966,588
965,588
964,588
963,588
962,588
961,588
960,588
959,588
958,588
957,588
956,588
955,588
954,588
953,588
952,588
951,588
950,588
949,588
948,588
947,588
946,588
945,588
944,588
943,588
942,588
941,588
940,588
939,588
938,588
937,588
936,588
935,588
934,588
933,588
932,588
931,588
930,588
929,588
928,588
927,588
926,588
925,588
924,588
923,588
922,588
921,588
920,588
919,587
918,587
917,586
916,586
915,585
914,585
913,584
912,584
911,584
910,583
909,583
908,582
907,582
906,581
905,581
904,580
903,580
902,579
901,579
900,579
899,578
898,578
897,577
896,577
895,576
894,576
893,575
892,575
891,574
890,574
889,574
888,573
887,573
886,572
885,572
884,571
883,571
882,570
881,570
880,569
879,569
878,569
877,568
876,568
875,567
874,567
873,566
872,566
871,565
870,565
869,564
868,564
867,564
866,563
865,563
864,562
863,562
862,561
861,561
860,560
859,560
858,559
857,559
856,559
855,558
854,558
853,557
852,557
851,556
850,556
849,555
848,555
847,554
846,554
845,554
844,553
843,553
842,552
841,552
840,551
839,551
838,550
837,550
836,549
835,549
834,549
833,548
832,548
831,547
830,547
829,546
828,546
827,545
826,545
825,544
824,544
823,544
822,543
821,543
820,542
819,542
818,541
817,541
816,540
815,540
814,539
813,539
812,539
811,538
810,538
809,537
808,537
807,536
806,536
805,535
804,535
803,534
802,534
801,534
800,533
799,533
798,532
797,532
796,531
795,531
794,530
793,530
792,529
791,529
790,528
789,527
788,526
787,525
786,524
785,523
784,522
783,521
782,520
781,519
780,518
779,517
778,516
777,515
776,515
775,514
774,514
773,514
772,513
771,513
770,513
769,513
768,513
767,513
766,513
765,513
764,513
763,513
762,513
761,513
760,513
759,513
758,513
757,513
756,513
755,513
754,512
753,512
752,511
751,511
750,510
749,510
748,509
747,509
746,509
745,508
744,508
743,507
742,507
741,506
740,506
739,505
738,505
737,504
736,504
735,504
734,503
733,503
732,502
731,502
730,501
729,501
728,500
727,500
726,499
725,499
724,499
723,498
722,498
721,497
720,497
719,496
718,496
717,495
716,495
715,494
714,494
713,494
712,493
711,493
710,492
709,492
708,491
707,491
706,490
705,490
704,489
703,489
702,489
701,488
700,488
699,487
698,487
697,486
696,486
695,485
694,485
693,484
692,484
691,484
690,483
689,483
688,482
687,482
686,481
685,481
684,480
683,480
682,479
681,479
680,479
679,478
678,478
677,477
676,477
675,476
674,476
673,475
672,475
671,474
670,474
669,474
668,473
667,473
666,472
665,472
664,471
663,471
662,470
661,470
660,469
659,469
