x,y,z
1.88525,8.66362,0.106415
1.8855,8.66464,0.107183
1.88463,8.66535,0.106887
1.8833,8.66574,0.107069
1.88025,8.6644,0.107701
1.8779,8.6626,0.108426
1.87604,8.66059,0.108343
1.87438,8.65942,0.108849
1.87284,8.65899,0.109891
1.87109,8.65676,0.111347
1.86905,8.653,0.113027
1.86538,8.64766,0.114088
1.86008,8.64084,0.114903
1.85453,8.63464,0.115455
1.8481,8.62891,0.115519
1.84191,8.62469,0.115951
1.83585,8.62191,0.116872
1.82988,8.62011,0.118908
1.82386,8.61916,0.121011
1.82012,8.61807,0.12281
1.81844,8.61683,0.124765
1.81609,8.6159,0.126853
1.81299,8.61527,0.129
1.81206,8.61658,0.130835
1.81295,8.61969,0.129935
1.8142,8.62281,0.127809
1.81571,8.6259,0.126005
1.8155,8.62995,0.125444
1.81368,8.63482,0.123096
1.81107,8.6382,0.121001
1.80797,8.64027,0.1198
1.80484,8.64223,0.119488
1.80168,8.64419,0.119359
1.80216,8.64532,0.118617
1.80584,8.64549,0.117994
1.80974,8.64379,0.117707
1.81369,8.63881,0.120109
1.81776,8.62903,0.13412
1.8211,8.61492,0.165029
1.82589,8.59984,0.214123
1.83197,8.58609,0.280817
1.83984,8.57682,0.360613
1.84925,8.57104,0.448811
1.85572,8.56642,0.541965
1.85647,8.56166,0.627814
1.86,8.55716,0.711648
1.86304,8.55121,0.789254
1.86355,8.53908,0.857896
1.85738,8.51896,0.917165
1.83682,8.49075,0.964756
1.79791,8.45417,1.00486
1.73741,8.4059,1.03199
1.65393,8.34575,1.04969
1.55305,8.27243,1.05875
1.44689,8.19164,1.05998
1.33143,8.10479,1.05768
1.21192,8.01566,1.05358
1.09466,7.92756,1.04956
0.978207,7.84136,1.04606
0.862456,7.75798,1.04412
0.743581,7.67747,1.0435
0.626272,7.60848,1.0435
0.50336,7.54821,1.04316
0.376888,7.49704,1.04351
0.246099,7.45096,1.04369
0.114418,7.4154,1.04393
-0.0145506,7.38842,1.04442
-0.136524,7.36936,1.04615
-0.251249,7.35571,1.04848
-0.363268,7.34681,1.05105
-0.471772,7.3406,1.05401
-0.580306,7.33349,1.05694
-0.687274,7.32437,1.05965
-0.786154,7.3146,1.06118
-0.878469,7.30262,1.0612
-0.966118,7.2903,1.06113
-1.04856,7.27685,1.0611
-1.12393,7.26108,1.06037
-1.19116,7.24297,1.06053
-1.25102,7.22296,1.06009
-1.30473,7.19985,1.06042
-1.3525,7.17401,1.06045
-1.39217,7.14825,1.06016
-1.4333,7.12169,1.06016
-1.47472,7.09416,1.06039
-1.51231,7.06808,1.06091
-1.54981,7.03815,1.0612
-1.58746,7.00443,1.06253
-1.62549,6.9659,1.06437
-1.6632,6.92443,1.06612
-1.6975,6.88402,1.06682
-1.73224,6.83899,1.06774
-1.76512,6.79145,1.06849
-1.79704,6.73805,1.0697
-1.82807,6.68283,1.07063
-1.85432,6.62478,1.07191
-1.8763,6.56317,1.07307
-1.89592,6.4966,1.07401
-1.91238,6.42634,1.07408
-1.92463,6.35285,1.07395
-1.93298,6.27739,1.07356
-1.9378,6.2007,1.07379
-1.93949,6.12265,1.0746
-1.93851,6.04621,1.07553
-1.93267,5.97875,1.07645
-1.92485,5.91145,1.07638
-1.91595,5.8432,1.07622
-1.90538,5.78241,1.07486
-1.89436,5.72129,1.07398
-1.88318,5.66177,1.07252
-1.87344,5.60178,1.07237
-1.8708,5.54096,1.07234
-1.87436,5.47866,1.0731
-1.88097,5.41489,1.07361
-1.89033,5.35032,1.07434
-1.89749,5.28376,1.07448
-1.90298,5.21526,1.07266
-1.90679,5.14461,1.07071
-1.90929,5.07222,1.06904
-1.90835,4.99717,1.06685
-1.90461,4.92069,1.06452
-1.90028,4.84653,1.063
-1.89506,4.77906,1.06111
-1.88909,4.71089,1.06121
-1.88424,4.64787,1.05984
-1.87771,4.58675,1.05936
-1.86952,4.52811,1.05913
-1.86355,4.47046,1.05861
-1.85961,4.41761,1.0578
-1.85568,4.36379,1.05626
-1.8522,4.31358,1.05544
-1.84602,4.26175,1.05533
-1.8377,4.21045,1.05627
-1.82799,4.15927,1.05843
-1.82049,4.10769,1.06238
-1.81147,4.05794,1.06646
-1.80083,4.00919,1.07118
-1.787,3.96049,1.07403
-1.76973,3.91099,1.07637
-1.75291,3.85995,1.07844
-1.73537,3.80713,1.08012
-1.71626,3.75854,1.08082
-1.69538,3.71228,1.08198
-1.67271,3.66272,1.08291
